school,city,county,SchoolCode,SchoolName
CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,1932144,Crescenta Valley High
CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,NA,NA
CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,1932201,Culver City High
DA VINCI COMMUNICATIONS HS,El Segundo,Los Angeles,0131128,Da Vinci Communications
DA VINCI CONNECT HIGH SCHOOL,El Segundo,Los Angeles,0128728,Da Vinci Connect
DA VINCI DESIGN HIGH SCHOOL,El Segundo,Los Angeles,0119636,Da Vinci Design
DA VINCI SCIENCE HIGH SCHOOL,El Segundo,Los Angeles,0119016,Da Vinci Science
DANIEL PEARL MAGNET HIGH SCHL,Van Nuys,Los Angeles,0120360,Daniel Pearl Journalism & Communications Magnet
DAVID STARR JORDAN HS,Los Angeles,Los Angeles,1934470,Jordan High
DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,1932862,Diamond Bar High
DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,1995901,Diamond Ranch High
DOMINGUEZ HIGH SCHOOL,Compton,Los Angeles,1932326,Dominguez High
DOWNEY HIGH SCHOOL,Downey,Los Angeles,1932441,Downey High
DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,NA,NA
DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,0124479,Dr. Maya Angelou Community High
DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,0102921,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy
DUARTE HIGH SCHOOL,Duarte,Los Angeles,1932482,Duarte High
EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,1932540,Eagle Rock High
EARLY COLLEGE ACAD LA TRADE TECH,Los Angeles,Los Angeles,0127803,Early College Academy-LA Trade Tech College
EAST COLLEGE PREP,Los Angeles,Los Angeles,0109454,South East High
EAST VALLEY HIGH SCHOOL,North Hollywood,Los Angeles,0112037,East Valley Senior High
EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,0108407,Eastside High
EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,0122432,Edgewood High
EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,0117051,Edward R. Roybal Learning Center
EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,1932623,El Camino Real Charter High
EL MONTE HIGH SCHOOL,El Monte,Los Angeles,1932664,El Monte High
EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,1932706,El Rancho High
EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,1932763,El Segundo High
ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,6016885,Elizabeth Learning Center
ENVIRONMENTAL CHARTER HIGH SCH,Gardena,Los Angeles,1996438,Environmental Charter High - Lawndale
ENVIRONMENTAL CHARTER HS LAWNDALE,Lawndale,Los Angeles,1996438,Environmental Charter High - Lawndale
ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,0127381,"Ernest S. McBride, Sr. High"
ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,0135715,Ednovate - Esperanza College Prep
FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,1932920,Fairfax Senior High
FELICITAS AND GONZALO MENDEZ HS,Los Angeles,Los Angeles,0119966,Felicitas and Gonzalo Mendez High
FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,6061451,Foshay Learning Center
FRANCISCO BRAVO MEDICAL MAGNET,Los Angeles,Los Angeles,1995448,Francisco Bravo Medical Magnet High
FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,6061634,Fremont Academy of Engineering and Design
GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,1995810,Gabrielino High
GANESHA HIGH SCHOOL,Pomona,Los Angeles,1933175,Ganesha High
GARDENA HIGH SCHOOL,Gardena,Los Angeles,1933241,Gardena Senior High
GAREY HIGH SCHOOL,Pomona,Los Angeles,1933324,Garey High
GEORGE WASHINGTON PREPARATORY,Los Angeles,Los Angeles,1939305,George Washington Preparatory High
GIRLS ACADEMIC LEADERSHIP ACAD,Los Angeles,Los Angeles,0135996,Boys Academic Leadership Academy
GLEN A WILSON HIGH SCHOOL,Hacienda Heights,Los Angeles,1939875,Wilson High
GLENDALE HIGH SCHOOL,Glendale,Los Angeles,1933530,Glendale High
GLENDORA HIGH SCHOOL,Glendora,Los Angeles,1933597,Glendora High
GOLDEN VALLEY HIGH SCHOOL,Santa Clarita,Los Angeles,0102459,Golden Valley High
GRANADA HILLS CHARTER HIGH SCH,Granada Hills,Los Angeles,1933746,Granada Hills Charter
GREEN DESIGN STEAM ACADEMY,Los Angeles,Los Angeles,NA,NA
GRETCHEN WHITNEY HIGH SCHOOL,Cerritos,Los Angeles,1931880,Whitney (Gretchen) High
HAWTHORNE HIGH SCHOOL,Hawthorne,Los Angeles,1933951,Hawthorne High
HAWTHORNE MATH & SCIENCE ACAD,Hawthorne,Los Angeles,0100354,Hawthorne Math and Science Academy
HELEN BERNSTEIN HIGH SCHOOL,Hollywood,Los Angeles,0117069,Helen Bernstein High
HERBERT HOOVER HIGH SCHOOL,Glendale,Los Angeles,1934082,Herbert Hoover High
HIGH TECH HIGH LA,Van Nuys,Los Angeles,1935352,Los Angeles Senior High
HIGHLAND HIGH SCHOOL,Palmdale,Los Angeles,1995398,Highland High
HOLLYWOOD HIGH SCHOOL,Los Angeles,Los Angeles,1934033,Hollywood Senior High
HUNTINGTON PARK HIGH SCHOOL,Huntington Park,Los Angeles,1934157,Huntington Park Senior High
HUNTINGTON PARK INST APPLD MEDICINE,Huntington Park,Los Angeles,0126516,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine
ICEF VIEW PARK PREPARATORY HIGH SCH,Los Angeles,Los Angeles,0101196,ICEF View Park Preparatory High
ILEAD EXPLORATION HYBRID,Acton,Los Angeles,0131987,iLEAD Hybrid
INGLEWOOD HIGH SCHOOL,Inglewood,Los Angeles,1934231,Inglewood High
INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,1936947,Polytechnic High
INTERNATIONAL STUDIES LEARNING CTR,South Gate,Los Angeles,NA,NA
JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles,1933381,James A. Garfield Senior High
JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,1935865,James Monroe High
JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,1937564,John A. Rowland High
JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,1931237,Burroughs High
JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,1933118,John C. Fremont Senior High
JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles,1939941,John F. Kennedy High
JOHN GLENN HIGH SCHOOL,Norwalk,Los Angeles,1933647,John H. Glenn High
JOHN MARSHALL FUNDAMENTAL SCH,Pasadena,Los Angeles,1931674,Marshall Fundamental
JOHN MARSHALL HIGH SCHOOL,Los Angeles,Los Angeles,1935568,John Marshall Senior High
JOHN MUIR HIGH SCHOOL,Pasadena,Los Angeles,1936103,John Muir High
JOHN RANCIS POLYTECHNIC HIGH SCHOOL,Sun Valley,Los Angeles,1932987,John H. Francis Polytechnic
JORDAN HIGH SCHOOL,Long Beach,Los Angeles,1934470,Jordan High
JUAN RODRIGUEZ CABRILLO HS,Long Beach,Los Angeles,1995935,Cabrillo High
KING DREW MAGNET HS MED/SCI,Los Angeles,Los Angeles,1933001,King/Drew Medical Magnet High
LA CANADA HIGH SCHOOL,La Canada,Los Angeles,1934611,La Canada High
LA CENTER ENRICHED STUDIES,Los Angeles,Los Angeles,1932847,Los Angeles Center for Enriched Studies
LA MIRADA HIGH SCHOOL,La Mirada,Los Angeles,1934728,La Mirada High
LA PUENTE HIGH SCHOOL,La Puente,Los Angeles,1934801,La Puente High
LA SERNA HIGH SCHOOL,Whittier,Los Angeles,1934868,La Serna High
LAKE BALBOA COLLEGE PREP K-12,Van Nuys,Los Angeles,1931716,Lake Balboa College Preparatory Magnet K-12
LAKEWOOD HIGH SCHOOL,Lakewood,Los Angeles,1934678,Lakewood High
LANCASTER HIGH SCHOOL,Lancaster,Los Angeles,1995844,Lancaster High
LARCHMONT CHARTER SCHOOL,Los Angeles,Los Angeles,0108928,Larchmont Charter
LAWNDALE HIGH SCHOOL,Lawndale,Los Angeles,1934926,Lawndale High
LENNOX MATH SCIENCE TECH ACAD,Inglewood,Los Angeles,0100602,"Lennox Mathematics, Science and Technology Academy"
LEUZINGER HIGH SCHOOL,Lawndale,Los Angeles,1935048,Leuzinger High
LIBRA ACADEMY AT LINDA MARQUEZ HS,Huntington Park,Los Angeles,0126524,Linda Esperanza Marquez High B LIBRA Academy
LIFELINE EDUCATION CHARTER SCH,Compton,Los Angeles,0115725,Lifeline Education Charter
LINDA MARQUEZ HS-SOCIAL JUSTICE,Huntington Park,Los Angeles,0126532,Linda Esperanza Marquez High C School of Social Justice
LITTLEROCK HIGH SCHOOL,Littlerock,Los Angeles,1995406,Littlerock High
LONG BEACH POLYTECHNIC HS,Long Beach,Los Angeles,1936947,Polytechnic High
LOS ALTOS HIGH SCHOOL,Hacienda Heights,Los Angeles,1935246,Los Altos High
LOS ANGELES COUNTY HS FOR THE ARTS,Los Angeles,Los Angeles,1933399,L.A. County High School for the Arts
LOS ANGELES HS OF THE ARTS,Los Angeles,Los Angeles,0117747,Los Angeles High School of the Arts
LOS ANGELES LEADERSHIP ACAD HS,Los Angeles,Los Angeles,1996610,Los Angeles Leadership Academy
LOS ANGELES SCHOOL GLOBAL STUDIES,Los Angeles,Los Angeles,0112870,Contreras Learning Center-Los Angeles School of Global Studies
LOS ANGELES SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,1935352,Los Angeles Senior High
LYNWOOD HIGH SCHOOL,Lynwood,Los Angeles,1935436,Lynwood High
M C LEARNING COMPLX-SCH OF BUS&TRSM,Los Angeles,Los Angeles,NA,NA
MAGNOLIA SCIENCE ACADEMY - 1 RESEDA,Reseda,Los Angeles,NA,NA
MAGNOLIA SCIENCE ACADEMY 2 VALLEY,Van Nuys,Los Angeles,0115212,Magnolia Science Academy 2
MALIBU HIGH SCHOOL,Malibu,Los Angeles,1995737,Malibu High
MANUAL ARTS SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,1935519,Manual Arts Senior High
MARCO ANTONIO FIREBAUGH HS,Lynwood,Los Angeles,0109538,Marco Antonio Firebaugh High
MARK KEPPEL HIGH SCHOOL,Alhambra,Los Angeles,1934553,Mark Keppel High
MATH AND SCIENCE COLLEGE PREP,Los Angeles,Los Angeles,0126136,Math and Science College Preparatory
MATH SCIENCE TECHNOLOGY MAGNET,Los Angeles,Los Angeles,0126136,Math and Science College Preparatory
MAYFAIR HIGH SCHOOL,Lakewood,Los Angeles,1935618,Mayfair High
MAYWOOD ACADEMY HIGH SCHOOL,Maywood,Los Angeles,0109462,Maywood Academy High
MAYWOOD CTR ENRICHED STUDIES,Maywood,Los Angeles,0135855,Maywood Center for Enriched Studies
MERVYN M DYMALLY HIGH SCHOOL,Los Angeles,Los Angeles,0126573,Mervyn M. Dymally High
MIDDLE COLLEGE HIGH SCHOOL,Los Angeles,Los Angeles,0102913,Middle College High
MIRA COSTA HIGH SCHOOL,Manhattan Beach,Los Angeles,1935808,Mira Costa High
MONROVIA HIGH SCHOOL,Monrovia,Los Angeles,1935923,Monrovia High
MONTEBELLO HIGH SCHOOL,Montebello,Los Angeles,1935998,Montebello High
MORNINGSIDE HIGH SCHOOL,Inglewood,Los Angeles,1936046,Morningside High
MOUNT SAC EARLY COLLEGE ACADEMY,West Covina,Los Angeles,0137042,Mt. SAC Early College Academy at West Covina
MOUNTAIN VIEW HIGH SCHOOL,El Monte,Los Angeles,1932680,Mountain View High
NATHANIEL NARBONNE HIGH SCHOOL,Harbor City,Los Angeles,1936160,Nathaniel Narbonne Senior High
NAVA COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,0129585,Nava College Preparatory Academy
NEW DESIGNS CHARTER SCHOOL,Los Angeles,Los Angeles,0102541,New Designs Charter
NEW OPEN WORLD ACADEMY,Los Angeles,Los Angeles,0119685,New Open World Academy K-12
NEW WEST CHARTER SCHOOL,Los Angeles,Los Angeles,6120158,New West Charter
NOGALES HIGH SCHOOL,La Puente,Los Angeles,1936228,Nogales High
NORTH HIGH SCHOOL,Torrance,Los Angeles,1936277,North High
NORTH HOLLYWOOD HIGH SCHOOL,North Hollywood,Los Angeles,1936350,North Hollywood Senior High
NORTHRIDGE ACADEMY HIGH SCHOOL,Northridge,Los Angeles,0107003,Northridge Academy High
NORTHVIEW HIGH SCHOOL,Covina,Los Angeles,1936418,Northview High
NORWALK HIGH SCHOOL,Norwalk,Los Angeles,1936467,Norwalk High
ODYSSEY STEM ACADEMY,Lakewood,Los Angeles,0136705,Odyssey STEM Academy
OPTIONS FOR YOUTH DUARTE - PASADENA,Pasadena,Los Angeles,0139535,"Options For Youth - Duarte, Inc"
ORTHOPAEDIC HOSPITAL MAGNET HS,Los Angeles,Los Angeles,0106997,Orthopaedic Hospital
OSCAR DE LA HOYA ANIMO CHARTER,Los Angeles,Los Angeles,0101675,Oscar De La Hoya Animo Charter High
PALISADES CHARTER HIGH SCHOOL,Pacific Palisades,Los Angeles,1995836,Palisades Charter High
PALMDALE ACADEMY CHARTER,Palmdale,Los Angeles,1936624,Palmdale High
PALMDALE AEROSPACE ACADEMY,Palmdale,Los Angeles,0125377,Palmdale Aerospace Academy
PALMDALE HIGH SCHOOL,Palmdale,Los Angeles,1936624,Palmdale High
PALOS VERDES HIGH SCHOOL,Palos Verdes Estate,Los Angeles,1996552,Palos Verdes High
PALOS VERDES PENINSULA HS,Rolling Hills Estat,Los Angeles,1995588,Palos Verdes Peninsula High
PANORAMA HIGH SCHOOL,Panorama City,Los Angeles,0112052,Panorama High
PARAMOUNT HIGH SCHOOL,Paramount,Los Angeles,1936749,Paramount High
PASADENA HIGH SCHOOL,Pasadena,Los Angeles,1936822,Pasadena High
PERFORMING ARTS COMMUNITY SCHO,Los Angeles,Los Angeles,0124511,Performing Arts Community at Diego Rivera Learning Complex
PHINEAS BANNING HIGH SCHOOL,Wilmington,Los Angeles,1930650,Phineas Banning Senior High
PIONEER HIGH SCHOOL,Whittier,Los Angeles,1936889,Pioneer High
POMONA HIGH SCHOOL,Pomona,Los Angeles,1937028,Pomona High
PORT OF LOS ANGELES HS,San Pedro,Los Angeles,0107755,Port of Los Angeles High
PUBLIC SERVICE COMMUNITY SCHOO,Los Angeles,Los Angeles,0124487,Public Service Community at Diego Rivera Learning Complex
PUC CALS MIDDLE AND EARLY COLL,Los Angeles,Los Angeles,0133298,PUC CALS Middle School and Early College High
PUC COMMUNITY CHARTER EARLY COLL HS,Sylmar,Los Angeles,6116750,PUC Community Charter Middle and PUC Community Charter Early College High
PUC EARLY COLG ACADEMY LEADERS,Los Angeles,Los Angeles,0124933,PUC Early College Academy for Leaders and Scholars (ECALS)
PUC LAKEVIEW CHARTER HIGH SCHL,Sylmar,Los Angeles,0122606,PUC Lakeview Charter High
PUC TRIUMPH CHARTER ACADEMY HS,Sylmar,Los Angeles,0133272,PUC Triumph Charter Academy and PUC Triumph Charter High
QUARTZ HILL HIGH SCHOOL,Quartz Hill,Los Angeles,1937051,Quartz Hill High
RANCHO DOMINGUEZ PREP SCHOOL,Long Beach,Los Angeles,0124529,Rancho Dominguez Preparatory
REDONDO UNION HIGH SCHOOL,Redondo Beach,Los Angeles,1937143,Redondo Union High
RENAISSANCE ARTS ACADEMY,Los Angeles,Los Angeles,0101683,Renaissance Arts Academy
RENAISSANCE HIGH SCHOOL ARTS,Long Beach,Los Angeles,0101683,Renaissance Arts Academy
RESEDA HIGH SCHOOL,Reseda,Los Angeles,1937226,Reseda Charter High
RICHARD GAHR HIGH SCHOOL,Cerritos,Los Angeles,1933159,Gahr (Richard) High
RISE KOHYANG HIGH SCHOOL,Los Angeles,Los Angeles,0133868,Rise Kohyang High
ROBERT A MILLIKAN HIGH SCHOOL,Long Beach,Los Angeles,1935758,Millikan High
ROBERT FULTON COLLEGE PREP SCH,Van Nuys,Los Angeles,6058002,Robert Fulton College Preparatory
ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles,1937481,Rosemead High
SAN DIMAS HIGH SCHOOL,San Dimas,Los Angeles,1937739,San Dimas High
SAN FERNANDO HIGH SCHOOL,San Fernando,Los Angeles,1937622,San Fernando Senior High
SAN GABRIEL HIGH SCHOOL,San Gabriel,Los Angeles,1937697,San Gabriel High
SAN MARINO HIGH SCHOOL,San Marino,Los Angeles,1937754,San Marino High
SAN PEDRO HIGH SCHOOL,San Pedro,Los Angeles,1937838,San Pedro Senior High
SANTA FE HIGH SCHOOL,Santa Fe Springs,Los Angeles,1937903,Santa Fe High
SANTA MONICA HIGH SCHOOL,Santa Monica,Los Angeles,1938000,Santa Monica High
SANTEE EDUCATION COMPLEX,Los Angeles,Los Angeles,0109447,Santee Education Complex
SATO ACADEMY OF MATH & SCIENCE,Long Beach,Los Angeles,0132324,Eunice Sato Academy of Math & Science
SAUGUS HIGH SCHOOL,Santa Clarita,Los Angeles,1931740,Saugus High
SCH SOCIAL JUSTICE-CONT LEARN CTR,Los Angeles,Los Angeles,0126532,Linda Esperanza Marquez High C School of Social Justice
SCHOOL OF ARTS AND ENTERPRISE,Pomona,Los Angeles,1996693,School of Arts and Enterprise
SCHOOL VISUAL ARTS AND HUMANITIES,Los Angeles,Los Angeles,0117762,School for the Visual Arts and Humanities
SCHURR HIGH SCHOOL,Montebello,Los Angeles,1930155,Schurr High
SCIENCE ACADEMY STEM MAGNET,North Hollywood,Los Angeles,0133736,Science Academy STEM Magnet
SHERMAN OAKS CTR ENRCHED STDS,Tarzana,Los Angeles,1933233,Sherman Oaks Center for Enriched Studies
SIERRA VISTA HIGH SCHOOL,Baldwin Park,Los Angeles,1938166,Sierra Vista High
SOAR HIGH SCHOOL,Lancaster,Los Angeles,0111872,SOAR High (Students On Academic Rise)
SOCIAL JUSTICE HUMANITAS ACAD,San Fernando,Los Angeles,0124388,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy
SONIA SOTOMAYOR ARTS & SCIENCE ACAD,Los Angeles,Los Angeles,0124412,Sotomayor Arts and Sciences Magnet
SOUTH EAST HIGH SCHOOL,South Gate,Los Angeles,0109454,South East High
SOUTH EL MONTE HIGH SCHOOL,South El Monte,Los Angeles,1995661,South El Monte High
SOUTH GATE HIGH SCHOOL,South Gate,Los Angeles,1938307,South Gate Senior High
SOUTH HIGH SCHOOL,Torrance,Los Angeles,1938356,South High
SOUTH HILLS HIGH SCHOOL,West Covina,Los Angeles,1938372,South Hills High
SOUTH LA COLLEGE PREP,Los Angeles,Los Angeles,0100677,High Tech LA
SOUTH PASADENA HIGH SCHOOL,South Pasadena,Los Angeles,1938455,South Pasadena Senior High
STEAM AT LEGACY HIGH SCHOOL COMPLEX,South Gate,Los Angeles,NA,NA
STELLA HIGH CHARTER ACADEMY,Los Angeles,Los Angeles,0112508,Stella High Charter Academy
STEM ACADEMY OF HOLLYWOOD,Hollywood,Los Angeles,0133736,Science Academy STEM Magnet
SUN VALLEY MAGNET SCHOOL,Sun Valley,Los Angeles,6061600,Sun Valley Magnet
SUSAN MILLER DORSEY HIGH SCHL,Los Angeles,Los Angeles,1932383,Susan Miller Dorsey Senior High
SYLMAR BIOTECH HEALTH & ENG MAGNET,Sylmar,Los Angeles,0130997,Sylmar Biotech Health and Engineering Magnet
SYLMAR HIGH SCHOOL,Sylmar,Los Angeles,1938554,Sylmar Charter High
SYNERGY QUANTUM ACADEMY,Los Angeles,Los Angeles,0124560,Synergy Quantum Academy
TEACH TECH CHARTER HIGH SCHOOL,Los Angeles,Los Angeles,0129627,TEACH Tech Charter High
TEMPLE CITY HIGH SCHOOL,Temple City,Los Angeles,1938679,Temple City High
THEODORE ROOSEVELT SENIOR HIGH,Los Angeles,Los Angeles,1937424,Theodore Roosevelt Senior High
THOMAS JEFFERSON HIGH SCHOOL,Los Angeles,Los Angeles,1934371,Thomas Jefferson Senior High
TORRANCE HIGH SCHOOL,Torrance,Los Angeles,1938752,Torrance High
TORRES HIGH SCH RENAISSANCE ACADEMY,Los Angeles,Los Angeles,NA,NA
TORRES HS - SOCIAL JUSTICE LEADRSHP,Los Angeles,Los Angeles,0126532,Linda Esperanza Marquez High C School of Social Justice
TORRES HS ENGINEERING & TECHNICAL,Los Angeles,Los Angeles,NA,NA
TORRES HS PERFORMING ARTS ACADEMY,Los Angeles,Los Angeles,0122341,Esteban Torres East LA Performing Arts Magnet
TORRES HS-HUMANITAS ACAD ART &TECH,Los Angeles,Los Angeles,NA,NA
UCLA COMMUNITY SCHOOL,Los Angeles,Los Angeles,0119693,UCLA Community K-12
ULYSSES S GRANT HIGH SCHOOL,Van Nuys,Los Angeles,1933795,Ulysses S. Grant Senior High
UNIVERSITY HIGH SCHOOL,Los Angeles,Los Angeles,1938885,University High School Charter
UNIVERSITY PREP VALUE HS,Los Angeles,Los Angeles,0132027,University Preparatory Value High
USC HYBRID HIGH COLLEGE PREP,Los Angeles,Los Angeles,0125864,Ednovate - USC Hybrid High College Prep
USC MEDIA & ENGINEERING MAGNET SCH,Los Angeles,Los Angeles,NA,NA
VALENCIA HIGH SCHOOL,Valencia,Los Angeles,1995802,Valencia High
VALLEY ACADEMY ARTS & SCIENCES,Granada Hills,Los Angeles,0124362,Valley Academy of Arts and Sciences
VALLEY INTERNATIONAL PREP HS,Northridge,Los Angeles,0137612,Valley International Preparatory High
VALOR ACADEMY HIGH SCHOOL,North Hills,Los Angeles,0127894,Valor Academy High
VAN NUYS HIGH SCHOOL,Van Nuys,Los Angeles,1938968,Van Nuys Senior High
VASQUEZ HIGH SCHOOL,Acton,Los Angeles,1995786,Vasquez High
VAUGHN NEXT CENTURY LEARN CTR,San Fernando,Los Angeles,6019715,Vaughn Next Century Learning Center
VENICE HIGH SCHOOL,Los Angeles,Los Angeles,1939040,Venice Senior High
VERDUGO HILLS HIGH SCHOOL,Tujunga,Los Angeles,1939107,Verdugo Hills Senior High
VILLAGE ACADEMY HIGH SCHOOL,Pomona,Los Angeles,NA,NA
WALLIS ANNENBERG HIGH SCHOOL,Los Angeles,Los Angeles,0100750,Wallis Annenberg High
WALNUT HIGH SCHOOL,Walnut,Los Angeles,1939149,Walnut High
WARREN HIGH SCHOOL,Downey,Los Angeles,1939164,Warren (Earl) High
WEST ADAMS PREPARATORY HS,Los Angeles,Los Angeles,0114850,West Adams Preparatory High
WEST COVINA HIGH SCHOOL,West Covina,Los Angeles,1939537,West Covina High
WEST HIGH SCHOOL,Torrance,Los Angeles,1939602,West High
WEST RANCH HIGH SCHOOL,Valencia,Los Angeles,0102475,West Ranch High
WESTCHESTER ENRICHED SCIENCE MAGNET,Los Angeles,Los Angeles,NA,NA
WHITTIER HIGH SCHOOL,Whittier,Los Angeles,1939701,Whittier High
WILLIAM HOWARD TAFT HS,Woodland Hills,Los Angeles,1938612,Taft Charter High
WILLIAM J PETE KNIGHT HIGH SCH,Palmdale,Los Angeles,0100081,William J. (Pete) Knight High
WILLIAM S HART HIGH SCHOOL,Newhall,Los Angeles,1933902,William S. Hart High
WILLIAM WORKMAN HIGH SCHOOL,City Of Industry,Los Angeles,1939925,William Workman High
WISH ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,0135632,WISH Academy High
WOODROW WILSON HIGH SCHOOL,Long Beach,Los Angeles,1939859,Woodrow Wilson Senior High
WOODROW WILSON HIGH SCHOOL,Los Angeles,Los Angeles,1939859,Woodrow Wilson Senior High
CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera,2032357,Chowchilla Union High
LIBERTY HIGH SCHOOL,Madera,Madera,2030203,Liberty High
MADERA HIGH SCHOOL,Madera,Madera,2035707,Madera High
MADERA SOUTH HIGH SCHOOL,Madera,Madera,0110965,Madera South High
MATILDA TORRES HIGH SCHOOL,Madera,Madera,0139691,Matilda Torres High
YOSEMITE HIGH SCHOOL,Oakhurst,Madera,2030013,Yosemite High
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,2131340,Archie Williams High
NOVATO HIGH SCHOOL,Novato,Marin,2132272,Novato High
REDWOOD HIGH SCHOOL,Larkspur,Marin,2132587,Redwood High
SAN MARIN HIGH SCHOOL,Novato,Marin,2133056,San Marin High
SAN RAFAEL HIGH SCHOOL,San Rafael,Marin,2133262,San Rafael High
TAMALPAIS HIGH SCHOOL,Mill Valley,Marin,2133692,Tamalpais High
TAMISCAL HIGH SCHOOL,Larkspur,Marin,2130078,Tamiscal High (Alternative)
TERRA LINDA HIGH SCHOOL,San Rafael,Marin,2134005,Terra Linda High
MARIPOSA COUNTY HIGH SCHOOL,Mariposa,Mariposa,2235356,Mariposa County High
ANDERSON VALLEY JR SR HIGH SCHOOL,Boonville,Mendocino,2330900,Anderson Valley Junior-Senior High
FORT BRAGG HIGH SCHOOL,Fort Bragg,Mendocino,2331361,Fort Bragg High
MENDOCINO HIGH SCHOOL,Mendocino,Mendocino,2333185,Mendocino High
UKIAH HIGH SCHOOL,Ukiah,Mendocino,2335024,Ukiah High
ATWATER HIGH SCHOOL,Atwater,Merced,2430601,Atwater High
BUHACH COLONY HIGH SCHOOL,Atwater,Merced,2430205,Buhach Colony High
DELHI HIGH SCHOOL,Delhi,Merced,2430114,Delhi High
DOS PALOS HIGH SCHOOL,Dos Palos,Merced,2431203,Dos Palos High
EL CAPITAN HIGH SCHOOL,Merced,Merced,0127373,El Capitan High
GOLDEN VALLEY HIGH SCHOOL,Merced,Merced,2430098,Golden Valley High
GUSTINE HIGH SCHOOL,Gustine,Merced,2431807,Gustine High
LE GRAND UNION HIGH SCHOOL,Le Grand,Merced,2433001,Le Grand High
LIVINGSTON HIGH SCHOOL,Livingston,Merced,2433605,Livingston High
LOS BANOS HIGH SCHOOL,Los Banos,Merced,2434207,Los Banos High
MERCED HIGH SCHOOL,Merced,Merced,2435204,Merced High
PACHECO HIGH SCHOOL,Los Banos,Merced,0120923,Pacheco High
MAMMOTH HIGH SCHOOL,Mammoth Lakes,Mono,2630010,Mammoth High
ALISAL HIGH SCHOOL,Salinas,Monterey,2730109,Alisal High
CARMEL HIGH SCHOOL,Carmel,Monterey,2730414,Carmel High
EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,2730166,Everett Alvarez High
GONZALES HIGH SCHOOL,Gonzales,Monterey,2730885,Gonzales High
GREENFIELD HIGH SCHOOL,Greenfield,Monterey,2730174,Greenfield High
KING CITY JOINT UNION HS,King City,Monterey,2732170,King City High
MARINA HIGH SCHOOL,Marina,Monterey,0111435,Marina High
MONTEREY HIGH SCHOOL,Monterey,Monterey,2732808,Monterey High
NORTH MONTEREY COUNTY HIGH SCH,Castroville,Monterey,2730034,North Monterey County High
NORTH SALINAS HIGH SCHOOL,Salinas,Monterey,2733178,North Salinas High
PACIFIC GROVE HIGH SCHOOL,Pacific Grove,Monterey,2733657,Pacific Grove High
RANCHO SAN JUAN HIGH SCHOOL,Salinas,Monterey,0136697,Rancho San Juan High
SALINAS HIGH SCHOOL,Salinas,Monterey,2734556,Salinas High
SEASIDE HIGH SCHOOL,Seaside,Monterey,2735348,Seaside High
SOLEDAD HIGH SCHOOL,Soledad,Monterey,2730190,Soledad High
AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,0121087,American Canyon High
CALISTOGA JUNIOR SENIOR HIGH SCHOOL,Calistoga,Napa,2831758,Calistoga Junior/Senior High
NAPA HIGH SCHOOL,Napa,Napa,2835601,Napa High
NEW TECHNOLOGY HIGH SCHOOL,Napa,Napa,2830115,New Technology High
