school,city,county,SchoolCode,SchoolName
COLUSA HIGH SCHOOL,Colusa,Colusa,0631259,Colusa High
PIERCE HIGH SCHOOL,Arbuckle,Colusa,0635250,Pierce High
WILLIAMS HIGH SCHOOL,Williams,Colusa,0637504,Williams Junior/Senior High
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,0730283,Acalanes High
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,0730549,Alhambra Senior High
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,0730861,Antioch High
ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,0132100,Aspire Richmond Ca. College Preparatory Academy
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,0730051,California High
CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,0731125,Campolindo High
CLAYTON VALLEY CHARTER HIGH SCHOOL,Concord,Contra Costa,0731380,Clayton Valley Charter High
COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,0731646,College Park High
CONCORD HIGH SCHOOL,Concord,Contra Costa,0731836,Concord High
DE ANZA HIGH SCHOOL,Richmond,Contra Costa,0732164,De Anza High
DEER VALLEY HIGH SCHOOL,Antioch,Contra Costa,0730465,Deer Valley High
DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,0113118,Dougherty Valley High
DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,0117218,Dozier-Libbey Medical High
EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,0732941,El Cerrito High
FREEDOM HIGH SCHOOL,Oakley,Contra Costa,0730457,Freedom High
HERCULES HIGH SCHOOL,Hercules,Contra Costa,0730598,Hercules High
HERITAGE HIGH SCHOOL,Brentwood,Contra Costa,0107797,Heritage High
INVICTUS ACADEMY OF RICHMOND,El Cerrito,Contra Costa,0137026,Invictus Academy of Richmond
JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,0733659,John F. Kennedy High
JOHN HENRY HIGH SCHOOL,Richmond,Contra Costa,0132233,John Henry High
JOHN SWETT HIGH SCHOOL,Crockett,Contra Costa,0737023,John Swett High
LAS LOMAS HIGH SCHOOL,Walnut Creek,Contra Costa,0733725,Las Lomas High
LEADERSHIP PUBLIC SCH RICHMOND,Richmond,Contra Costa,0101477,Leadership Public Schools: Richmond
LIBERTY HIGH SCHOOL,Brentwood,Contra Costa,0733980,Liberty High
MAKING WAVES ACADEMY,Richmond,Contra Costa,0114470,Making Waves Academy
MIDDLE COLLEGE HIGH SCHOOL,San Pablo,Contra Costa,0730291,Middle College High
MIRAMONTE HIGH SCHOOL,Orinda,Contra Costa,0734244,Miramonte High
MONTE VISTA HIGH SCHOOL,Danville,Contra Costa,0734368,Monte Vista High
MOUNT DIABLO HIGH SCHOOL,Concord,Contra Costa,0734566,Mt. Diablo High
NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa,0730044,Northgate High
PINOLE VALLEY HIGH SCHOOL,Pinole,Contra Costa,0735316,Pinole Valley High
PITTSBURG HIGH SCHOOL,Pittsburg,Contra Costa,0735407,Pittsburg Senior High
RICHMOND HIGH SCHOOL,Richmond,Contra Costa,0735902,Richmond High
SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,0736504,San Ramon Valley High
SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,0129684,Summit Public School K2
SUMMIT PUBLIC SCHOOL TAMALPAIS,San Pablo,Contra Costa,0133637,Summit Public School: Tamalpais
YGNACIO VALLEY HIGH SCHOOL,Concord,Contra Costa,0737809,Ygnacio Valley High
EL DORADO HIGH SCHOOL,Placerville,El Dorado,0932756,El Dorado High
OAK RIDGE HIGH SCHOOL,El Dorado Hills,El Dorado,0930081,Oak Ridge High
OCEAN GROVE CHARTER SCHOOL,Placerville,El Dorado,NA,NA
PONDEROSA HIGH SCHOOL,Shingle Springs,El Dorado,0936302,Ponderosa High
SOUTH TAHOE HIGH SCHOOL,South Lake Tahoe,El Dorado,0937805,South Tahoe High
UNION MINE HIGH SCHOOL,El Dorado,El Dorado,0930164,Union Mine High
BUCHANAN HIGH SCHOOL,Clovis,Fresno,1030501,Buchanan High
BULLARD HIGH SCHOOL,Fresno,Fresno,1030279,Bullard High
CARUTHERS HIGH SCHOOL,Caruthers,Fresno,1030535,Caruthers High
CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,1030626,Central East High
CENTRAL HIGH SCHOOL,Fresno,Fresno,1030790,Central High
CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,1030683,Clovis East High
CLOVIS HIGH SCHOOL,Clovis,Fresno,1031053,Clovis High
CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,0113555,Clovis North High
CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,1030196,Clovis West High
COALINGA HIGH SCHOOL,Coalinga,Fresno,1031376,Coalinga High
DESIGN SCIENCE MIDDLE COLG HS,Fresno,Fresno,0108555,Design Science Middle College High
DUNCAN POLYTECHNICAL HS,Fresno,Fresno,1030295,Erma Duncan Polytechnical High
EDISON HIGH SCHOOL,Fresno,Fresno,1031897,Edison High
FIREBAUGH HIGH SCHOOL,Firebaugh,Fresno,1030121,Firebaugh High
FOWLER HIGH SCHOOL,Fowler,Fresno,1032150,Fowler High
FRESNO HIGH SCHOOL,Fresno,Fresno,1032507,Fresno High
HERBERT HOOVER HIGH SCHOOL,Fresno,Fresno,1032911,Herbert Hoover High
JUSTIN GARZA HIGH SCHOOL,Fresno,Fresno,0140509,Justin Garza High
KERMAN HIGH SCHOOL,Kerman,Fresno,1033430,Kerman High
KINGSBURG HIGH SCHOOL,Kingsburg,Fresno,1033695,Kingsburg High
MCLANE HIGH SCHOOL,Fresno,Fresno,1034214,McLane High
MENDOTA HIGH SCHOOL,Mendota,Fresno,1030493,Mendota High
ORANGE COVE HIGH SCHOOL,Orange Cove,Fresno,0108092,Orange Cove High
PARLIER HIGH SCHOOL,Parlier,Fresno,1034990,Parlier High
REEDLEY HIGH SCHOOL,Reedley,Fresno,1035310,Reedley High
REEDLEY MIDDLE COLLEGE HS,Reedley,Fresno,0126292,Reedley Middle College High
RIVERDALE HIGH SCHOOL,Riverdale,Fresno,1035575,Riverdale High
SANGER HIGH SCHOOL,Sanger,Fresno,1036094,Sanger High
SANGER WEST HIGH SCHOOL,Fresno,Fresno,0141291,Sanger West High
SELMA HIGH SCHOOL,Selma,Fresno,1036672,Selma High
SUNNYSIDE HIGH SCHOOL,Fresno,Fresno,1030675,Sunnyside High
THEODORE ROOSEVELT HIGH SCHOOL,Fresno,Fresno,1035831,Roosevelt High
TRANQUILLITY HIGH SCHOOL,Tranquillity,Fresno,1037456,Tranquillity High
UNIVERSITY HIGH SCHOOL,Fresno,Fresno,0114553,University High
WASHINGTON UNION HIGH SCHOOL,Fresno,Fresno,1038306,Washington High
HAMILTON UNION HIGH SCHOOL,Hamilton City,Glenn,1133701,Hamilton High
ORLAND HIGH SCHOOL,Orland,Glenn,1135656,Orland High
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0108688,Academy of the Redwoods
ARCATA HIGH SCHOOL,Arcata,Humboldt,1230705,Arcata High
EUREKA HIGH SCHOOL,Eureka,Humboldt,1232206,Eureka Senior High
